2026-09-25 17:30:11,764 INFO  ExportHelperExtension.cs: 1397 - Fixing components for base_link
2026-09-25 17:30:11,768 INFO  ExportHelperExtension.cs: 1402 - Fixing -1
2026-09-25 17:30:11,770 INFO  ExportHelperExtension.cs: 1402 - Fixing 24
2026-09-25 17:30:11,770 INFO  ExportHelperExtension.cs: 1402 - Fixing 171
2026-09-25 17:30:11,772 INFO  ExportHelperExtension.cs: 1402 - Fixing 182
2026-09-25 17:30:11,772 INFO  ExportHelperExtension.cs: 1402 - Fixing 183
2026-09-25 17:30:11,772 INFO  ExportHelperExtension.cs: 1402 - Fixing 184
2026-09-25 17:30:11,774 INFO  ExportHelperExtension.cs: 1402 - Fixing 185
2026-09-25 17:30:11,774 INFO  ExportHelperExtension.cs: 1402 - Fixing 189
2026-09-25 17:30:11,774 INFO  ExportHelperExtension.cs: 1402 - Fixing 190
2026-09-25 17:30:11,774 INFO  ExportHelperExtension.cs: 1402 - Fixing 191
2026-09-25 17:30:11,774 INFO  ExportHelperExtension.cs: 1402 - Fixing 192
2026-09-25 17:30:11,774 INFO  ExportHelperExtension.cs: 1402 - Fixing 193
2026-09-25 17:30:17,571 INFO  ExportHelperExtension.cs: 832 - R1: 0, 0
2026-09-25 17:30:17,571 INFO  ExportHelperExtension.cs: 841 - R2: 0, 0
2026-09-25 17:30:17,571 INFO  ExportHelperExtension.cs: 849 - L1: 0
2026-09-25 17:30:17,571 INFO  ExportHelperExtension.cs: 857 - L2: 0
2026-09-25 17:30:17,620 INFO  ExportHelperExtension.cs: 1352 - Unfixing component -1
2026-09-25 17:30:17,620 INFO  ExportHelperExtension.cs: 1352 - Unfixing component 24
2026-09-25 17:30:17,620 INFO  ExportHelperExtension.cs: 1352 - Unfixing component 171
2026-09-25 17:30:17,620 INFO  ExportHelperExtension.cs: 1352 - Unfixing component 182
2026-09-25 17:30:17,620 INFO  ExportHelperExtension.cs: 1352 - Unfixing component 183
2026-09-25 17:30:17,620 INFO  ExportHelperExtension.cs: 1352 - Unfixing component 184
2026-09-25 17:30:17,620 INFO  ExportHelperExtension.cs: 1352 - Unfixing component 185
2026-09-25 17:30:17,620 INFO  ExportHelperExtension.cs: 1352 - Unfixing component 189
2026-09-25 17:30:17,620 INFO  ExportHelperExtension.cs: 1352 - Unfixing component 190
2026-09-25 17:30:17,620 INFO  ExportHelperExtension.cs: 1352 - Unfixing component 191
2026-09-25 17:30:17,634 INFO  ExportHelperExtension.cs: 1352 - Unfixing component 192
2026-09-25 17:30:17,634 INFO  ExportHelperExtension.cs: 1352 - Unfixing component 193
2026-09-25 17:30:32,922 WARN  ExportHelperExtension.cs: 351 - Creating joint from parent base_link to child shoulder_link failed
2026-09-25 17:30:37,515 INFO  ExportHelperExtension.cs: 347 - Creating joint upper_arm_link
2026-09-25 17:30:37,515 INFO  ExportHelperExtension.cs: 1397 - Fixing components for shoulder_link
2026-09-25 17:30:37,515 INFO  ExportHelperExtension.cs: 1402 - Fixing 181
2026-09-25 17:30:37,515 INFO  ExportHelperExtension.cs: 1402 - Fixing 30
2026-09-25 17:30:37,515 INFO  ExportHelperExtension.cs: 1402 - Fixing 238
2026-09-25 17:30:37,515 INFO  ExportHelperExtension.cs: 1402 - Fixing 239
2026-09-25 17:30:37,515 INFO  ExportHelperExtension.cs: 1402 - Fixing 240
2026-09-25 17:30:37,515 INFO  ExportHelperExtension.cs: 1402 - Fixing 241
2026-09-25 17:30:37,515 INFO  ExportHelperExtension.cs: 1402 - Fixing 242
2026-09-25 17:30:37,515 INFO  ExportHelperExtension.cs: 1402 - Fixing 243
2026-09-25 17:30:37,515 INFO  ExportHelperExtension.cs: 1402 - Fixing 225
2026-09-25 17:30:37,515 INFO  ExportHelperExtension.cs: 1402 - Fixing 247
2026-09-25 17:30:37,515 INFO  ExportHelperExtension.cs: 1402 - Fixing 248
